,City Name,Country,Latitude,Longitude,Date,Temperature,Humidity,Wind Speed,Clouds
0,bluff,AU,-23.58,-23.58,2018-11-26,63.44,52.0,0.13,0.0
1,port elizabeth,US,39.31,39.31,2018-11-26,51.96,97.0,20.27,100.0
2,vanavara,RU,60.35,60.35,2018-11-26,-3.35,74.0,0.69,36.0
3,bredasdorp,ZA,-34.53,-34.53,2018-11-26,61.68,100.0,24.29,92.0
4,puerto ayora,EC,-0.74,-0.74,2018-11-26,73.52,95.0,12.66,20.0
5,kapaa,US,22.08,22.08,2018-11-26,69.78,100.0,5.06,20.0
6,albany,US,42.65,42.65,2018-11-26,39.95,100.0,7.4,92.0
7,olga,US,34.11,34.11,2018-11-26,58.89,34.0,2.93,0.0
8,ushuaia,AR,-54.81,-54.81,2018-11-26,49.31,57.0,17.81,0.0
9,kawalu,ID,-7.38,-7.38,2018-11-26,68.16,100.0,1.7,76.0
10,kruisfontein,ZA,-34.0,-34.0,2018-11-26,67.71,85.0,11.21,0.0
11,rikitea,PF,-23.12,-23.12,2018-11-26,77.12,97.0,10.42,24.0
12,kresttsy,RU,58.25,58.25,2018-11-26,22.22,87.0,8.75,88.0
13,bambous virieux,MU,-20.34,-20.34,2018-11-26,72.66,99.0,10.42,92.0
14,ribeira grande,PT,38.52,38.52,2018-11-26,66.54,91.0,30.56,92.0
15,ossora,RU,59.24,59.24,2018-11-26,16.64,100.0,8.08,80.0
16,cape town,ZA,-33.93,-33.93,2018-11-26,60.56,100.0,25.3,80.0
17,hamina,FI,60.57,60.57,2018-11-26,25.91,99.0,7.74,32.0
18,inongo,CD,-1.93,-1.93,2018-11-26,71.76,100.0,4.05,80.0
19,khatanga,RU,71.98,71.98,2018-11-26,-26.03,40.0,9.75,0.0
20,east london,ZA,-33.02,-33.02,2018-11-26,69.56,100.0,8.86,88.0
21,atuona,PF,-9.8,-9.8,2018-11-26,79.59,100.0,15.79,76.0
22,yellowknife,CA,62.45,62.45,2018-11-26,22.94,95.0,15.23,76.0
23,bereda,ES,43.27,43.27,2018-11-26,43.37,87.0,3.38,0.0
24,saint-philippe,CA,45.36,45.36,2018-11-26,37.29,97.0,6.62,92.0
25,bratsk,RU,56.15,56.15,2018-11-26,10.83,57.0,7.18,64.0
26,ranong,TH,9.96,9.96,2018-11-26,80.81,100.0,8.41,8.0
27,cayenne,GF,4.94,4.94,2018-11-26,80.18,91.0,7.96,92.0
28,ust-nera,RU,64.57,64.57,2018-11-26,-31.34,47.0,1.59,44.0
29,la ronge,CA,55.1,55.1,2018-11-26,5.57,73.0,4.94,32.0
30,vaini,IN,15.34,15.34,2018-11-26,72.26,52.0,5.39,0.0
31,leningradskiy,RU,69.38,69.38,2018-11-26,9.26,99.0,18.37,68.0
32,volokolamsk,RU,56.03,56.03,2018-11-26,20.01,82.0,9.53,32.0
33,acajutla,SV,13.59,13.59,2018-11-26,85.53,65.0,4.27,8.0
34,tuktoyaktuk,CA,69.44,69.44,2018-11-26,4.22,100.0,19.26,24.0
35,mount isa,AU,-20.73,-20.73,2018-11-26,78.65,75.0,8.63,32.0
36,runkel,DE,50.4,50.4,2018-11-26,35.54,97.0,8.19,88.0
37,faanui,PF,-16.48,-16.48,2018-11-26,83.06,100.0,12.44,32.0
38,rock sound,BS,24.9,24.9,2018-11-26,79.59,100.0,8.63,80.0
39,valdivia,CL,-39.81,-39.81,2018-11-26,65.69,61.0,8.75,0.0
40,hobart,AU,-42.88,-42.88,2018-11-26,50.34,98.0,1.81,88.0
41,port alfred,ZA,-33.59,-33.59,2018-11-26,69.29,87.0,10.2,88.0
42,luancheng,CN,37.88,37.88,2018-11-26,45.8,31.0,14.12,68.0
43,kavieng,PG,-2.57,-2.57,2018-11-26,84.36,100.0,10.76,80.0
44,neuquen,AR,-38.95,-38.95,2018-11-26,84.59,31.0,12.33,0.0
45,jamestown,AU,-33.21,-33.21,2018-11-26,52.41,100.0,3.6,100.0
46,nicoya,CR,10.15,10.15,2018-11-26,83.73,77.0,5.06,12.0
47,provideniya,RU,64.42,64.42,2018-11-26,21.14,100.0,24.52,36.0
48,mataura,NZ,-46.19,-46.19,2018-11-26,47.42,86.0,8.97,0.0
49,nemuro,JP,43.32,43.32,2018-11-26,47.64,98.0,24.85,0.0
50,saldanha,PT,41.42,41.42,2018-11-26,40.89,88.0,4.94,0.0
51,hilo,US,19.71,19.71,2018-11-26,74.69,100.0,10.76,88.0
52,lorengau,PG,-2.02,-2.02,2018-11-26,81.93,100.0,11.21,44.0
53,agadez,NE,16.97,16.97,2018-11-26,76.08,17.0,7.74,0.0
54,ancud,CL,-41.87,-41.87,2018-11-26,62.04,64.0,5.95,76.0
55,college,US,64.86,64.86,2018-11-26,24.65,75.0,8.63,68.0
56,busselton,AU,-33.64,-33.64,2018-11-26,54.03,100.0,12.44,0.0
57,tasiilaq,GL,65.61,65.61,2018-11-26,28.79,100.0,6.73,32.0
58,avarua,CK,-21.21,-21.21,2018-11-26,76.08,100.0,4.5,0.0
59,upernavik,GL,72.79,72.79,2018-11-26,8.76,100.0,22.39,12.0
60,krasnopavlivka,UA,49.15,49.15,2018-11-26,35.72,95.0,6.96,92.0
61,punta arenas,CL,-53.16,-53.16,2018-11-26,47.91,84.0,19.6,44.0
